INFRA - MaJ PF Tomcat + CAS;beaudlot;beaudlot;;;2017;Mise à jour du service CAS;
INFRA - Migration vers PARTAGE;eric;eric;charpenm;;2017;Migration de la messagerie vers le service PARTAGE;
INFRA - Marché Télécom;beaudlot;beaudlot;;;;Gestion du marché Télécom;
INFRA - MaJ Plateforme LDAP;juanedam;;;;2017;Projet de refonte et de mise a jour de l’architecture LDAP;
INFRA - Sécurité SI - incendie salle Agro ;charpenm;charpenm;;;;Sécurité SI - incendie salle Agro ;
INFRA - Serveurs de cache mémoire;juanedam;juanedam;charpenm;;2017;Mise en production et intégration de serveurs de cache ;
INFRA - évolution Samba4;juanedam;;tranv, beaudlot;;2019;Pilotage de prestations pour remplacement des services Samba et de ses dépendances (LDAP, Kerberos) ainsi que modernisation de nos procédures de gestion de parc Windows.;
INFRA - Nouvelle Messagerie applicative (MTA);charpenm;charpenm;;;2017;Migration sur le relais de messagerie électronique utilisé par les services informatiques et les appareils.;
INFRA - Renouvellement architecture wifi;juanedam;juanedam;beaudlot;;2019;Projet de remplacement des controlleurs et de  renouvellement de l’architecture wifi ;
INFRA - BDD test;charpenm;charpenm;juanedam;;2017;Mise a jour de la plateforme BDD de test;
INFRA - Remplacement NAS  ;tranv;tranv;juanedam, charpenm;;2017;Projet de remplacement et d’intégration du NAS;
INFRA - Videolan;ringesq;ringesq;;;;;
INFRA - Gestion centralisée équipements réseau actifs;beaudlot;beaudlot;juanedam;;2017;Projet de mise en exploitation d’un outil de gestion centralisée de la configuration des équipements réseau;
INFRA - PSSI;eric;eric;;;;Mise en place d’une PSSI;
INFRA - VRRP + MaJ routeurs + Activation log NAT;juanedam;juanedam;;;2017;Gestion de la prestation  VRRP + MaJ routeurs + Activation log NAT;
INFRA - FDRN : feuille de route du numérique;juanedam;;;;; FDRN : feuille de route du numérique;
INFRA - Sécurisation des mots de passe;eric;charpenm;juanedam, tranv;;2017;Projet de sécurisation du mot de passe des identités numériques;
DevOps - Outils - Performance des applications web;juanedam;tavernij;;Maxime Charpenne; Récurrent;étude régulière sur l’amélioration des performances de nos applications web. ;
DevOps - Outils - Workflow de dev & déploiement;charpenm;marcelf ;;Maxime Charpenne; Récurrent;Réflexion sur un workflow de développement et d'intégration commun (dev+ops) ;
